title,scoiety,price,area,when ready,link
"2 BHK Apartment for Sale in Lodha Divino, Matunga East Mumbai",none,Rs 3.50 Cr ,820 sqft,Dec '27,https://www.magicbricks.com/lodha-divino-matunga-east-mumbai-pdpid-4d4235333934353139
2 BHK Apartment for Sale in Kandivali West Mumbai,none,Rs 2.21 Cr ,730 sqft,Dec '26,no link
3 BHK Apartment for Sale in Lokhandwala Complex Andheri West Mumbai,none,Rs 4.49 Cr ,1100 sqft,Dec '27,no link
"2 BHK Apartment for Sale in Sugee Heights, Vaishali Nagar Mulund West Mumbai",none,Rs 1.32 Cr ,576 sqft,of 36,https://www.magicbricks.com/sugee-heights-vaishali-nagar-mulund-west-mumbai-pdpid-4d4235313232383435
"3 BHK Apartment for Sale in Bharat altavista, Andheri West Mumbai",none,Rs 5.77 Cr ,1282 sqft,Dec '27,https://www.magicbricks.com/bharat-altavista-andheri-west-mumbai-pdpid-4d4235343234343633
"2 BHK Apartment for Sale in Sunteck Sky Park, Mira Bhayandar Road Mumbai",none,Rs 1.20 Cr ,665 sqft,Aug '28,https://www.magicbricks.com/sunteck-sky-park-mira-bhayandar-road-mumbai-pdpid-4d4235333938303139
"2 BHK Apartment for Sale in Spectrum Life, Santacruz West Mumbai",none,Rs 3.22 Cr ,721 sqft,Apr '28,https://www.magicbricks.com/spectrum-life-santacruz-west-mumbai-pdpid-4d4235343239333633
"3 BHK Apartment for Sale in Godrej Urban Park, Sangharsh Nagar Mumbai",none,Rs 2.75 Cr ,996 sqft,Sep '26,https://www.magicbricks.com/godrej-urban-park-sangharsh-nagar-mumbai-pdpid-4d4235323330323635
2 BHK Apartment for Sale in Mulund East Mumbai,none,Rs 1.67 Cr ,750 sqft,Dec '28,no link
"3 BHK Apartment for Sale in The Prestige City, Mulund West Mumbai",none,Rs 2.18 Cr ,899 sqft,Dec '25,https://www.magicbricks.com/the-prestige-city-mulund-west-mumbai-pdpid-4d4235333332363837
"3 BHK Apartment for Sale in Runwal Forests, Ambedkar Nagar Kanjurmarg West Mumbai",none,Rs 2.85 Cr ,1120 sqft,to Move,https://www.magicbricks.com/runwal-forests-ambedkar-nagar-kanjurmarg-west-mumbai-pdpid-4d4235303238383430
"2 BHK Apartment for Sale in DLH Leo Tower, Andheri West Mumbai",none,Rs 2.73 Cr ,650 sqft,to Move,https://www.magicbricks.com/dlh-leo-tower-andheri-west-mumbai-pdpid-4d4235333237313737
"3 BHK Apartment for Sale in Agarwal Florence, Goregaon West Mumbai",none,Rs 3.15 Cr ,931 sqft,May '25,https://www.magicbricks.com/agarwal-florence-goregaon-west-mumbai-pdpid-4d4235343030323435
"2 BHK Apartment for Sale in Metro Millennium, Malad West Mumbai",none,Rs 2.43 Cr ,733 sqft,Oct '25,https://www.magicbricks.com/metro-millennium-malad-west-mumbai-pdpid-4d4235343234303631
"3 BHK Apartment for Sale in Kolte Patil Alora, Kalina Mumbai",none,Rs 3.57 Cr ,990 sqft,Jun '26,https://www.magicbricks.com/kolte-patil-alora-kalina-mumbai-pdpid-4d4235333932343537
"2 BHK Apartment for Sale in Sunteck Sky Park, Mira Bhayandar Road Mumbai",none,Rs 1.45 Cr ,665 sqft,Dec '28,https://www.magicbricks.com/sunteck-sky-park-mira-bhayandar-road-mumbai-pdpid-4d4235333938303139
"2 BHK Apartment for Sale in Sheetal Infinity, Goregaon East Mumbai",none,Rs 1.77 Cr ,710 sqft,Dec '26,https://www.magicbricks.com/sheetal-infinity-goregaon-east-mumbai-pdpid-4d4235343139393033
"3 BHK Apartment for Sale in Suraj Palette, Dadar West Mumbai",none,Rs 8.30 Cr ,1106 sqft,Dec '25,https://www.magicbricks.com/suraj-palette-dadar-west-mumbai-pdpid-4d4235313136313631
"2 BHK Apartment for Sale in DEM Phoenix, Malad East Mumbai",none,Rs 1.30 Cr ,520 sqft,Oct '26,https://www.magicbricks.com/dem-phoenix-malad-east-mumbai-pdpid-4d4235333936333131
3 BHK Apartment for Sale in Lodha stella kapurbawdi junctin thane West Mumbai,none,Rs 3.60 Cr ,1319 sqft,Apr '27,no link
"3 BHK Apartment for Sale in Darvesh Grand, Khar West Mumbai",none,Rs 5 Cr ,900 sqft,to Move,https://www.magicbricks.com/darvesh-grand-khar-west-mumbai-pdpid-4d4235303833303334
"2 BHK Apartment for Sale in Sambhavparshva Tsaaya, Kandivali East Mumbai",none,Rs 1.77 Cr ,636 sqft,Sep '25,https://www.magicbricks.com/sambhavparshva-tsaaya-kandivali-east-mumbai-pdpid-4d4235333334373037
"3 BHK Apartment for Sale in Evershine Crown, Kandivali East Mumbai",none,Rs 3 Cr ,897 sqft,of 22,https://www.magicbricks.com/evershine-crown-kandivali-east-mumbai-pdpid-4d4235303237323832
"2 BHK Apartment for Sale in Yashwant Prestige, Virar West Mumbai",none,Rs 82 Lac ,771 sqft,Dec '25,https://www.magicbricks.com/yashwant-prestige-virar-west-mumbai-pdpid-4d4235343234333737
"2 BHK Apartment for Sale in Jaydeep Mark, Mulund East Mumbai",none,Rs 1.68 Cr ,675 sqft,Dec '27,https://www.magicbricks.com/jaydeep-mark-mulund-east-mumbai-pdpid-4d4235343235343337
"2 BHK Apartment for Sale in Mayfair Virar Gardens, Virar West Mumbai",none,Rs 69.8 Lac ,511 sqft,Dec '26,https://www.magicbricks.com/mayfair-virar-gardens-virar-west-mumbai-pdpid-4d4235303030363736
"2 BHK Apartment for Sale in AP Nutex, Saraswat Colony Potohar Nagar Mumbai",none,Rs 5.62 Cr ,804 sqft,Dec '25,https://www.magicbricks.com/ap-nutex-saraswat-colony-mumbai-pdpid-4d4235343137383031
"3 BHK Apartment for Sale in Vijayshree, Shivaji Park Mumbai",none,Rs 7.54 Cr ,1295 sqft,May '26,https://www.magicbricks.com/vijayshree-shivaji-park-mumbai-pdpid-4d4235343230323133
"2 BHK Apartment for Sale in Piramal Revanta, Mulund West Mumbai",none,Rs 2.10 Cr ,854 sqft,Mar '27,https://www.magicbricks.com/piramal-revanta-mulund-west-mumbai-pdpid-4d4235303938333339
3 BHK Apartment for Sale in Goregaon East Mumbai,none,Rs 2.59 Cr ,1034 sqft,Dec '26,no link
"3 BHK Apartment for Sale in Oberoi Splendor, Andheri East Mumbai",none,Rs 4.45 Cr ,1250 sqft,to Move,https://www.magicbricks.com/oberoi-splendor-andheri-east-mumbai-pdpid-4d4235303030363030
"3 BHK Apartment for Sale in Modispaces Ganges , Borivali West Mumbai",none,Rs 3 Cr ,887 sqft,May '25,https://www.magicbricks.com/modispaces-ganges-borivali-west-mumbai-pdpid-4d4235333334323237
"2 BHK Apartment for Sale in Adityaraj Gateway, Ghatkopar East Mumbai",none,Rs 1.60 Cr ,575 sqft,Dec '25,https://www.magicbricks.com/adityaraj-gateway-ghatkopar-east-mumbai-pdpid-4d4235333433383637
"3 BHK Apartment for Sale in Fortune Florence, Magathane Mumbai",none,Rs 3.43 Cr ,1327 sqft,Dec '26,https://www.magicbricks.com/fortune-florence-magathane-mumbai-pdpid-4d4235343136343739
"3 BHK Apartment for Sale in Piramal Mahalaxmi, Mahalakshmi Mumbai",none,Rs 6.50 Cr ,1140 sqft,Dec '25,https://www.magicbricks.com/piramal-mahalaxmi-mahalakshmi-mumbai-pdpid-4d4235313134393335
"3 BHK Apartment for Sale in Godrej Horizon, Wadala Mumbai",none,Rs 4.25 Cr ,1025 sqft,Apr '28,https://www.magicbricks.com/godrej-horizon-wadala-mumbai-pdpid-4d4235333331363135
"2 BHK Apartment for Sale in Sunteck Sky Park, Mira Road East Mumbai",none,Rs 1.14 Cr ,665 sqft,Dec '27,https://www.magicbricks.com/sunteck-sky-park-mira-road-east-mumbai-pdpid-4d4235333938303139
"2 BHK Apartment for Sale in Satellite Elegance, Goregaon East Mumbai",none,Rs 1.90 Cr ,635 sqft,Jun '25,https://www.magicbricks.com/satellite-elegance-goregaon-east-mumbai-pdpid-4d4235313235363631
"3 BHK Apartment for Sale in PEARL PROVIDENCE, Jogeshwari West Mumbai",none,Rs 2.25 Cr ,900 sqft,Dec '27,https://www.magicbricks.com/pearl-providence-jogeshwari-west-mumbai-pdpid-4d4235343236323131
"2 BHK Apartment for Sale in Arkade Eden, Sunder Nagar Malad West Mumbai",none,Rs 2.48 Cr ,728 sqft,Dec '26,https://www.magicbricks.com/arkade-eden-sunder-nagar-malad-west-mumbai-pdpid-4d4235343230373037
"3 BHK Apartment for Sale in Piramal Aranya , Byculla Mumbai",none,Rs 8.20 Cr ,1503 sqft,Dec '25,https://www.magicbricks.com/piramal-aranya-byculla-mumbai-pdpid-4d4235303933313135
"2 BHK Apartment for Sale in Nettheim Chirag Heights, Dadar Parsi Colony Mumbai",none,Rs 5.64 Cr ,770 sqft,Dec '25,https://www.magicbricks.com/nettheim-chirag-heights-dadar-parsi-colony-mumbai-pdpid-4d4235333535383233
"2 BHK Apartment for Sale in Sunteck Beach Residences, Vasai West Mumbai",none,Rs 98.6 Lac ,604 sqft,Dec '26,https://www.magicbricks.com/sunteck-beach-residences-vasai-west-mumbai-pdpid-4d4235333332343239
"2 BHK Apartment for Sale in Wadhwa Pristine, Matunga West Mumbai",none,Rs 4.60 Cr ,761 sqft,to Move,https://www.magicbricks.com/wadhwa-pristine-matunga-west-mumbai-pdpid-4d4235313232313335
"2 BHK Apartment for Sale in Juhu Natraj, Juhu Mumbai",none,Rs 3.70 Cr ,640 sqft,to Move,https://www.magicbricks.com/juhu-natraj-juhu-mumbai-pdpid-4d4235303931353837
"3 BHK Apartment for Sale in Narayan Pushp Apartment, Gavane Pada Mumbai",none,Rs 2.40 Cr ,958 sqft,to Move,https://www.magicbricks.com/narayan-pushp-apartment-gavane-pada-mumbai-pdpid-4d4235303632323435
"2 BHK Apartment for Sale in Mantri Serene, Goregaon East Mumbai",none,Rs 1.50 Cr ,674 sqft,to Move,https://www.magicbricks.com/mantri-serene-goregaon-east-mumbai-pdpid-4d4235303030313835
"3 BHK Apartment for Sale in Supreme Boulevard, Chembur Mumbai",none,Rs 3.35 Cr ,1065 sqft,Mar '29,https://www.magicbricks.com/supreme-boulevard-chembur-mumbai-pdpid-4d4235343234303531
"2 BHK Apartment for Sale in L&T Elixir Reserve, Powai Mumbai",none,Rs 2.75 Cr ,835 sqft,Jun '27,https://www.magicbricks.com/l&t-elixir-reserve-powai-mumbai-pdpid-4d4235333236323137
"3 BHK Apartment for Sale in L&T Elixir Reserve, Powai Mumbai",none,Rs 3.95 Cr ,1040 sqft,Dec '26,https://www.magicbricks.com/l&t-elixir-reserve-powai-mumbai-pdpid-4d4235333236323137
"2 BHK Apartment for Sale in Godrej The Trees, Vikhroli Village Mumbai",none,Rs 3.33 Cr ,750 sqft,to Move,https://www.magicbricks.com/godrej-the-trees-vikhroli-village-mumbai-pdpid-4d4235303836313636
"2 BHK Apartment for Sale in Runwal Serene, Deonar Chembur Mumbai",none,Rs 2.15 Cr ,615 sqft,to Move,https://www.magicbricks.com/runwal-serene-deonar-chembur-mumbai-pdpid-4d4235303430373737
2 BHK Apartment for Sale in Juhu Tara Road Mumbai,none,Rs 4.05 Cr ,925 sqft,to Move,no link
3 BHK Villa for Sale in Virar Mumbai,none,Rs 2.05 Cr ,3356 sqft,Sep '25,no link
"3 BHK Apartment for Sale in Omkar Bellezza, Dadar West Mumbai",none,Rs 6.50 Cr ,1600 sqft,to Move,https://www.magicbricks.com/omkar-bellezza-dadar-west-mumbai-pdpid-4d4235313234303137
"2 BHK Apartment for Sale in Sheth Vasant Oasis, Marol Mumbai",none,Rs 2.85 Cr ,850 sqft,to Move,https://www.magicbricks.com/sheth-vasant-oasis-marol-mumbai-pdpid-4d4235303138333637
3 BHK Apartment for Sale in Borivali West Mumbai,none,Rs 3.25 Cr ,950 sqft,to Move,no link
"2 BHK Apartment for Sale in ARKADE Aspire, Goregaon East Mumbai",none,Rs 2.70 Cr ,702 sqft,to Move,https://www.magicbricks.com/arkade-aspire-goregaon-east-mumbai-pdpid-4d4235333331323633
"2 BHK Apartment for Sale in L and T Island Cove, Mahim Mumbai",none,Rs 3.30 Cr ,810 sqft,Dec '28,https://www.magicbricks.com/l-and-t-island-cove-mahim-mumbai-pdpid-4d4235343230323135
"2 BHK Apartment for Sale in DEM Phoenix, Malad East Mumbai",none,Rs 1.39 Cr ,570 sqft,Oct '25,https://www.magicbricks.com/dem-phoenix-malad-east-mumbai-pdpid-4d4235333936333131
"2 BHK Apartment for Sale in Shivam Shankaram Residency, Chembur Mumbai",none,Rs 1.70 Cr ,705 sqft,to Move,https://www.magicbricks.com/shivam-shankaram-residency-chembur-mumbai-pdpid-4d4235313130343535
"2 BHK Apartment for Sale in Mayfair Legends, Malad West Mumbai",none,Rs 1.30 Cr ,510 sqft,to Move,https://www.magicbricks.com/mayfair-legends-malad-west-mumbai-pdpid-4d4235303836343732
"3 BHK Apartment for Sale in Skyline Oasis , Ghatkopar West Mumbai",none,Rs 3.50 Cr ,1275 sqft,to Move,https://www.magicbricks.com/skyline-oasis-ghatkopar-west-mumbai-pdpid-4d4235313537393437
"2 BHK Apartment for Sale in Metro Paradise, Mulund West Mumbai",none,Rs 1.60 Cr ,650 sqft,Jun '26,https://www.magicbricks.com/metro-paradise-mulund-west-mumbai-pdpid-4d4235303632323134
2 BHK Apartment for Sale in Vile Parle West Mumbai,none,Rs 2 Cr ,525 sqft,to Move,no link
"2 BHK Apartment for Sale in La Bellezza, Borivali East Mumbai",none,Rs 1.70 Cr ,915 sqft,to Move,https://www.magicbricks.com/la-bellezza-borivali-east-mumbai-pdpid-4d4235303232373732
"2 BHK Apartment for Sale in Transcon Triumph, Andheri West Mumbai",none,Rs 2.63 Cr ,712 sqft,Aug '26,https://www.magicbricks.com/transcon-triumph-andheri-west-mumbai-pdpid-4d4235303838383334
3 BHK Builder Floor for Sale in Powai Mumbai,none,Rs 3.50 Cr ,991 sqft,Dec '25,no link
2 BHK Apartment for Sale in Ekta Nagar Dahisar East Mumbai,none,Rs 1.64 Cr ,716 sqft,Dec '26,no link
"3 BHK Apartment for Sale in Rustomjee Crown, Prabhadevi Mumbai",none,Rs 7.40 Cr ,1335 sqft,Nov '25,https://www.magicbricks.com/rustomjee-crown-prabhadevi-mumbai-pdpid-4d4235313230313935
"2 BHK Apartment for Sale in Siddha Sky, Wadala East Mumbai",none,Rs 1.97 Cr ,644 sqft,Dec '26,https://www.magicbricks.com/siddha-sky-wadala-east-mumbai-pdpid-4d4235313234363131
"3 BHK Apartment for Sale in Lodha Woods, Kandivali East Mumbai",none,Rs 3.60 Cr ,1079 sqft,Jul '25,https://www.magicbricks.com/lodha-woods-kandivali-east-mumbai-pdpid-4d4235333138353331
"2 BHK Apartment for Sale in Veena Smart Homes, Charkop Gaon Mumbai",none,Rs 1.40 Cr ,590 sqft,Jul '25,https://www.magicbricks.com/veena-smart-homes-charkop-mumbai-pdpid-4d4235343032333137
"2 BHK Apartment for Sale in ARKADE Aspire, Goregaon East Mumbai",none,Rs 2.28 Cr ,602 sqft,to Move,https://www.magicbricks.com/arkade-aspire-goregaon-east-mumbai-pdpid-4d4235333331323633
"2 BHK Apartment for Sale in GHP Shivgiri CHSL, Mulund West Mumbai",none,Rs 1.85 Cr ,1030 sqft,to Move,https://www.magicbricks.com/ghp-shivgiri-chsl-mulund-west-mumbai-pdpid-4d4235313136323533
"2 BHK Apartment for Sale in Adityaraj Sai Prasad, Tagore Nagar Mumbai",none,Rs 1.30 Cr ,527 sqft,to Move,https://www.magicbricks.com/adityaraj-sai-prasad-tagore-nagar-mumbai-pdpid-4d4235313035393533
"3 BHK Apartment for Sale in Vasant Garden, Swapna Nagari Mumbai",none,Rs 3.20 Cr ,1310 sqft,to Move,https://www.magicbricks.com/vasant-garden-swapna-nagari-mumbai-pdpid-4d4235303836383539
"3 BHK Apartment for Sale in Ruparel Jewel, Parel Mumbai",none,Rs 6.21 Cr ,2400 sqft,to Move,https://www.magicbricks.com/ruparel-jewel-parel-mumbai-pdpid-4d4235303839303635
"2 BHK Apartment for Sale in NG Paradise, Mira Road Area Mumbai",none,Rs 1 Cr ,975 sqft,to Move,https://www.magicbricks.com/ng-paradise-mira-road-mumbai-pdpid-4d4235303138393336
"2 BHK Apartment for Sale in Romell Allure, Borivali East Mumbai",none,Rs 1.80 Cr ,587 sqft,to Move,https://www.magicbricks.com/romell-allure-borivali-east-mumbai-pdpid-4d4235313835393837
2 BHK Apartment for Sale in Goregaon East Mumbai,none,Rs 1.79 Cr ,735 sqft,to Move,no link
2 BHK Apartment for Sale in Goregaon East Mumbai,none,Rs 2.60 Cr ,976 sqft,to Move,no link
2 BHK Apartment for Sale in Sahakar Nagar Andheri West Mumbai,none,Rs 2.32 Cr ,602 sqft,Sep '25,no link
2 BHK Apartment for Sale in Dadar West Mumbai,none,Rs 3.55 Cr ,670 sqft,to Move,no link
"2 BHK Apartment for Sale in Lodha Supremus, Andheri East Mumbai",none,Rs 67.3 Lac ,656 sqft,to Move,https://www.magicbricks.com/lodha-supremus-andheri-east-mumbai-pdpid-4d4235303239323631
"2 BHK Apartment for Sale in Sagar Sangeet, Colaba Mumbai",none,Rs 11 Cr ,2300 sqft,to Move,https://www.magicbricks.com/sagar-sangeet-colaba-mumbai-pdpid-4d4235303836343535
"3 BHK Apartment for Sale in Sunteck Sky Park, Beverly Park Mumbai",none,Rs 1.45 Cr ,948 sqft,Dec '27,https://www.magicbricks.com/sunteck-sky-park-beverly-park-mumbai-pdpid-4d4235333938303139
2 BHK Apartment for Sale in Shivaji Park Mumbai,none,Rs 2.99 Cr ,660 sqft,Jul '26,no link
"3 BHK Apartment for Sale in Transcon Auris Serenity, Malad West Mumbai",none,Rs 4.60 Cr ,1184 sqft,Jun '25,https://www.magicbricks.com/transcon-auris-serenity-malad-west-mumbai-pdpid-4d4235303138333732
"2 BHK Apartment for Sale in Sheth Auris Serinity, Kanchpada Mumbai",none,Rs 2.80 Cr ,805 sqft,Jul '25,https://www.magicbricks.com/sheth-auris-serinity-kanchpada-mumbai-pdpid-4d4235303732313835
"3 BHK Apartment for Sale in Neelam Senroofs, Nahur East Mumbai",none,Rs 3.25 Cr ,1252 sqft,Dec '25,https://www.magicbricks.com/neelam-senroofs-nahur-east-mumbai-pdpid-4d4235303230313833
3 BHK Apartment for Sale in Swami Samarth Nagar Mumbai,none,Rs 5.50 Cr ,1283 sqft,Jun '27,no link
"2 BHK Apartment for Sale in Srishti Oasis, Bhandup West Mumbai",none,Rs 1.34 Cr ,660 sqft,Dec '27,https://www.magicbricks.com/srishti-oasis-bhandup-west-mumbai-pdpid-4d4235303430303932
"2 BHK Apartment for Sale in Crimson Tower, Kandivali East Mumbai",none,Rs 1.60 Cr ,1050 sqft,to Move,https://www.magicbricks.com/crimson-tower-kandivali-east-mumbai-pdpid-4d4235303535363438
2 BHK Apartment for Sale in Tilak Nagar Chembur Mumbai,none,Rs 1.90 Cr ,624 sqft,to Move,no link
"2 BHK Apartment for Sale in Silver Mist Silver Croft, Versova Andheri West Mumbai",none,Rs 3 Cr ,770 sqft,to Move,https://www.magicbricks.com/silver-mist-silver-croft-versova-mumbai-pdpid-4d4235313538383831
"3 BHK Apartment for Sale in Shree Krishna Navageeta, Chembur East Mumbai",none,Rs 3.50 Cr ,870 sqft,to Move,https://www.magicbricks.com/shree-krishna-navageeta-chembur-east-mumbai-pdpid-4d4235343138323139
"3 BHK Apartment for Sale in Lodha Allura, Worli Sea Face Mumbai",none,Rs 7.20 Cr ,1093 sqft,to Move,https://www.magicbricks.com/lodha-allura-worli-sea-face-mumbai-pdpid-4d4235313038353337
2 BHK Apartment for Sale in Ekta Nagar Mazgaon Mumbai,none,Rs 3.25 Cr ,850 sqft,to Move,no link
"2 BHK Apartment for Sale in Piramal Revanta, Amar Nagar Mulund West Mumbai",none,Rs 1.34 Cr ,472 sqft,Oct '25,https://www.magicbricks.com/piramal-revanta-amar-nagar-mumbai-pdpid-4d4235303938333339
2 BHK Apartment for Sale in Nahur East Mumbai,none,Rs 1.80 Cr ,656 sqft,to Move,no link
"2 BHK Apartment for Sale in 73 East, Mahatma Gandhi Nagar Mumbai",none,Rs 2.10 Cr ,813 sqft,Dec '25,https://www.magicbricks.com/73-east-mahatma-gandhi-nagar-mumbai-pdpid-4d4235313135313331
3 BHK Apartment for Sale in Motilal Nagar Mumbai,none,Rs 4.98 Cr ,1015 sqft,to Move,no link
"3 BHK Apartment for Sale in L&T Crescent Bay, Parel Mumbai",none,Rs 7.75 Cr ,1800 sqft,to Move,https://www.magicbricks.com/l&t-crescent-bay-parel-mumbai-pdpid-4d4235303231303431
"3 BHK Apartment for Sale in Oberoi Eternia And Enigma, Sambhaji Nagar Mulund West Mumbai",none,Rs 3.05 Cr ,1049 sqft,to Move,https://www.magicbricks.com/oberoi-eternia-and-enigma-sambhaji-nagar-mulund-west-mumbai-pdpid-4d4235303734303337
2 BHK Apartment for Sale in Dadar West Mumbai,none,Rs 2.88 Cr ,640 sqft,of 16,no link
"2 BHK Apartment for Sale in Gauri Excellency, Kandivali West Mumbai",none,Rs 2.11 Cr ,733 sqft,Jun '25,https://www.magicbricks.com/gauri-excellency-kandivali-west-mumbai-pdpid-4d4235303930333030
"2 BHK Apartment for Sale in Dimple Westwood, Kandivali West Mumbai",none,Rs 1.65 Cr ,612 sqft,Jun '26,https://www.magicbricks.com/dimple-westwood-kandivali-west-mumbai-pdpid-4d4235333838343439
"2 BHK Apartment for Sale in Prestige Jasdan Classic, Byculla Mumbai",none,Rs 3.88 Cr ,883 sqft,Dec '25,https://www.magicbricks.com/prestige-jasdan-classic-byculla-mumbai-pdpid-4d4235333230303837
"2 BHK Apartment for Sale in Ashapura Samarth Aura, Bhandup West Mumbai",none,Rs 1.35 Cr ,622 sqft,Jun '25,https://www.magicbricks.com/ashapura-samarth-aura-bhandup-west-mumbai-pdpid-4d4235333236393931
"2 BHK Apartment for Sale in Chandak Greenairy, Devipada Mumbai",none,Rs 1.75 Cr ,618 sqft,Dec '26,https://www.magicbricks.com/chandak-greenairy-devi-pada-mumbai-pdpid-4d4235333334393239
"2 BHK Apartment for Sale in Raheja Classique, Lokhandwala Complex Andheri West Mumbai",none,Rs 4 Cr ,760 sqft,to Move,https://www.magicbricks.com/raheja-classique-lokhandwala-complex-mumbai-pdpid-4d4235303030383236
"2 BHK Apartment for Sale in Ashok Gardens, Abhyudaya Nagar Mumbai",none,Rs 3.75 Cr ,710 sqft,to Move,https://www.magicbricks.com/ashok-gardens-abhyudaya-nagar-mumbai-pdpid-4d4235303031363133
2 BHK Apartment for Sale in Kemps Corner Malabar Hill Mumbai,none,Rs 5.30 Cr ,823 sqft,to Move,no link
"3 BHK Apartment for Sale in Akshar Amar Mansion, Govandi East Mumbai",none,Rs 2.80 Cr ,875 sqft,to Move,https://www.magicbricks.com/akshar-amar-mansion-govandi-east-mumbai-pdpid-4d4235313336303635
"2 BHK Apartment for Sale in DNS Anuutham, Sion West Mumbai",none,Rs 2.25 Cr ,811 sqft,Dec '25,https://www.magicbricks.com/dns-anuutham-sion-west-mumbai-pdpid-4d4235333833363833
"3 BHK Apartment for Sale in Sunteck City 4th Avenue, Goregaon West Mumbai",none,Rs 3.40 Cr ,1036 sqft,Dec '25,https://www.magicbricks.com/sunteck-city-4th-avenue-goregaon-west-mumbai-pdpid-4d4235313237393939
2 BHK Apartment for Sale in Mulund West Mumbai,none,Rs 1.90 Cr ,606 sqft,to Move,no link
"2 BHK Apartment for Sale in City Of Joy, Mulund West Mumbai",none,Rs 2.32 Cr ,835 sqft,to Move,https://www.magicbricks.com/city-of-joy-mulund-west-mumbai-pdpid-4d4235303030323238
"2 BHK Apartment for Sale in Runwal Forests, Kanjurmarg West Mumbai",none,Rs 2.20 Cr ,753 sqft,to Move,https://www.magicbricks.com/runwal-forests-kanjurmarg-west-mumbai-pdpid-4d4235303238383430
2 BHK Apartment for Sale in Sundry Mantralaya Mumbai,none,Rs 6.50 Cr ,1000 sqft,to Move,no link
"2 BHK Apartment for Sale in Gayatri Satsang, Kandivali East Mumbai",none,Rs 1.80 Cr ,650 sqft,to Move,https://www.magicbricks.com/gayatri-satsang-kandivali-east-mumbai-pdpid-4d4235303030313239
"3 BHK Apartment for Sale in Kalpataru Estate, Jogeshwari Vikhroli Link Road Mumbai",none,Rs 3.30 Cr ,854 sqft,to Move,https://www.magicbricks.com/kalpataru-estate-jogeshwari-vikhroli-link-road-mumbai-pdpid-4d4235303030383130
"3 BHK Apartment for Sale in Rustomjee Ozone, Goregaon West Mumbai",none,Rs 6.90 Cr ,1500 sqft,to Move,https://www.magicbricks.com/rustomjee-ozone-goregaon-west-mumbai-pdpid-4d4235303031333632
"2 BHK Apartment for Sale in Chandak Greenairy, Borivali East Mumbai",none,Rs 2.25 Cr ,670 sqft,Jun '28,https://www.magicbricks.com/chandak-greenairy-borivali-east-mumbai-pdpid-4d4235333334393239
"3 BHK Apartment for Sale in Charkop Ramvijay Chs Ltd, Kandivali West Mumbai",none,Rs 1.85 Cr ,790 sqft,Dec '25,https://www.magicbricks.com/charkop-ramvijay-chs-ltd-kandivali-west-mumbai-pdpid-4d4235343234393235
"2 BHK Apartment for Sale in Sugee Atharva, Prabhadevi Mumbai",none,Rs 2.35 Cr ,480 sqft,of 12,https://www.magicbricks.com/sugee-atharva-prabhadevi-mumbai-pdpid-4d4235343138363235
"2 BHK Apartment for Sale in Runwal Forests, Kanjurmarg West Mumbai",none,Rs 1.90 Cr ,635 sqft,Oct '25,https://www.magicbricks.com/runwal-forests-kanjurmarg-west-mumbai-pdpid-4d4235303238383430
"2 BHK Apartment for Sale in R Stone Rudra Paradise, Santacruz East Mumbai",none,Rs 2.67 Cr ,632 sqft,Jun '26,https://www.magicbricks.com/r-stone-rudra-paradise-santacruz-east-mumbai-pdpid-4d4235343137353333
"2 BHK Apartment for Sale in Marshal Srishti, Bhandup West Mumbai",none,Rs 1.05 Cr ,500 sqft,Dec '25,https://www.magicbricks.com/marshal-srishti-bhandup-west-mumbai-pdpid-4d4235313131353933
"2 BHK Apartment for Sale in MICL Aaradhya Parkwood, Mira Road East Mumbai",none,Rs 1.45 Cr ,670 sqft,Dec '26,https://www.magicbricks.com/micl-aaradhya-parkwood-mira-road-east-mumbai-pdpid-4d4235333336323131
"2 BHK Apartment for Sale in Ruparel Urbana, Kurla Mumbai",none,Rs 1.39 Cr ,795 sqft,Dec '28,https://www.magicbricks.com/ruparel-urbana-kurla-mumbai-pdpid-4d4235343234313731
"3 BHK Apartment for Sale in Dimple Heights, Kandivali East Mumbai",none,Rs 2.60 Cr ,950 sqft,to Move,https://www.magicbricks.com/dimple-heights-kandivali-east-mumbai-pdpid-4d4235303330303030
"2 BHK Apartment for Sale in Rockline The Meridian Towers, Ghatkopar West Mumbai",none,Rs 1.38 Cr ,591 sqft,to Move,https://www.magicbricks.com/rockline-the-meridian-towers-ghatkopar-west-mumbai-pdpid-4d4235343136373435
"2 BHK Apartment for Sale in Hiranandani Castle Rock, Central Area Mumbai",none,Rs 3.80 Cr ,777 sqft,to Move,https://www.magicbricks.com/hiranandani-castle-rock-central-area-mumbai-pdpid-4d4235303937363333
"2 BHK Apartment for Sale in Radiant 59, Marol Mumbai",none,Rs 2.10 Cr ,700 sqft,Jul '25,https://www.magicbricks.com/radiant-59-marol-mumbai-pdpid-4d4235333235383237
3 BHK Apartment for Sale in Mumbai Central Mumbai,none,Rs 14 Cr ,1800 sqft,to Move,no link
3 BHK Apartment for Sale in Agarwal Sky Heights Vasai East Mumbai,none,Rs 79 Lac ,714 sqft,Dec '27,no link
"3 BHK Apartment for Sale in Raheja Amaltis, Sion Mumbai",none,Rs 5.17 Cr ,1346 sqft,Mar '27,https://www.magicbricks.com/raheja-amaltis-sion-mumbai-pdpid-4d4235343233333337
